Well;Unit;Facies;Top Depth;Facies Thickness;Flow Thickness;Core Prop.;;;;;;
1-CS-002-PR;Pitanga;1Volcaniclastics (undiff.):  (4.88 m) ;365,52;4,88;4,88;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | rubbly flow top):  (9.76 m) ;370,40;9,76;34,16;0,58;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (19.92 m) ;380,16;19,92;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (4.48 m) ;400,08;4,48;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | rubbly flow top):  (8.08 m) ;404,56;8,08;19,44;0,53;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (10.32 m) ;412,64;10,32;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (1.04 m) ;422,96;1,04;;;;;;;;
1-CS-002-PR;Pitanga;Siliciclastics (undiff. low GR):  (3.20 m) ;424,00;3,20;3,20;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust):  (5.04 m) ;427,20;5,04;25,52;0,75;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (19.04 m) ;432,24;19,04;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (1.44 m) ;451,28;1,44;;;;;;;;
1-CS-002-PR;Pitanga;1Volcaniclastics (undiff.):  (1.76 m) ;452,72;1,76;1,76;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | rubbly flow top):  (4.11 m) ;454,48;4,11;31,36;0,80;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (25.09 m) ;458,59;25,09;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (2.16 m) ;483,68;2,16;;;;;;;;
1-CS-002-PR;Pitanga;Siliciclastics (undiff. low GR):  (2.32 m) ;485,84;2,32;2,32;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust):  (5.28 m) ;488,16;5,28;26,88;0,74;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (20.00 m) ;493,44;20,00;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (1.60 m) ;513,44;1,60;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust):  (8.24 m) ;515,04;8,24;26,35;0,58;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (15.31 m) ;523,28;15,31;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (2.80 m) ;538,59;2,80;;;;;;;;
1-CS-002-PR;Esmeralda;Compound lava (basic):  (12.80 m) ;541,39;12,80;12,80;;Unit Thinckness;Avg flow Thickness;Avg Core prop;Simple;Compound;Siliciclastic/volcaniclastic
1-CS-002-PR;Esmeralda;Simple lava (basic | U. crust):  (4.80 m) ;554,19;4,80;13,33;0,56;260,53;28,51;0,62;0,88;0,08;0,04
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior):  (7.41 m) ;558,99;7,41;;;;;;228,08;20,96;11,49
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust):  (1.12 m) ;566,40;1,12;;;;;;;;
1-CS-002-PR;Esmeralda;Siliciclastics (undiff. low GR):  (1.76 m) ;567,52;1,76;1,76;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | U. crust):  (10.11 m) ;569,28;10,11;48,91;0,74;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior):  (36.00 m) ;579,39;36,00;;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust):  (2.80 m) ;615,39;2,80;;;;;;;;
1-CS-002-PR;Esmeralda;Siliciclastics (undiff. low GR):  (1.81 m) ;618,19;1,81;1,81;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | rubbly flow top):  (4.72 m) ;620,00;4,72;11,52;0,44;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior):  (5.04 m) ;624,72;5,04;;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust):  (1.76 m) ;629,76;1,76;;;;;;;;
1-CS-002-PR;Esmeralda;Siliciclastics (undiff. low GR):  (3.36 m) ;631,52;3,36;3,36;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | rubbly flow top):  (4.91 m) ;634,88;4,91;70,56;0,92;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior):  (64.61 m) ;639,79;64,61;;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust):  (0.99 m) ;704,40;1,04;;;;;;;;
1-CS-002-PR;Esmeralda;Compound lava (basic):  (8.16 m) ;705,44;8,16;8,16;;;;;;;
1-CS-002-PR;Esmeralda;Siliciclastics (undiff. low GR):  (0.64 m) ;713,60;0,64;0,64;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | U. crust):  (5.12 m) ;714,24;5,12;13,36;0,49;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior):  (6.48 m) ;719,36;6,48;;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust):  (1.76 m) ;725,84;1,76;;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | U. crust):  (7.44 m) ;727,60;7,44;15,84;0,44;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior):  (6.96 m) ;735,04;6,96;;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust):  (1.44 m) ;742,00;1,44;;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | U. crust):  (4.32 m) ;743,44;4,32;12,24;0,57;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior):  (6.96 m) ;747,76;6,96;;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust):  (0.96 m) ;754,72;0,96;;;;;;;;
1-CS-002-PR;Esmeralda;Siliciclastics (undiff. low GR):  (3.92 m) ;755,68;3,92;3,92;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | U. crust):  (6.59 m) ;759,60;6,59;42,32;0,79;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior):  (33.60 m) ;766,19;33,60;;;;;;;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust):  (2.13 m) ;799,79;2,13;;;;;;;;
1-CS-002-PR;Interbed;Siliciclastics (undiff. low GR):  (2.72 m) ;801,92;2,72;2,72;;Unit Thinckness;Avg flow Thickness;Avg Core prop;Simple;Compound;Siliciclastic/volcaniclastic
1-CS-002-PR;Vale do Sol;Compound lava (basic):  (6.96 m) ;804,64;6,96;6,96;;140,32;29,31;0,70;0,84;0,13;0,04
1-CS-002-PR;Vale do Sol;Simple lava (basic | U. crust):  (2.88 m) ;811,60;2,88;6,64;0,41;;;;117,22;17,66;5,44
1-CS-002-PR;Vale do Sol;Simple lava (basic | massive interior):  (2.72 m) ;814,48;2,72;;;;;;;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | L. crust):  (1.04 m) ;817,20;1,04;;;;;;;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | U. crust):  (3.84 m) ;818,24;3,84;37,76;0,85;;;;;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | massive interior):  (32.11 m) ;822,08;32,11;;;;;;;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | L. crust):  (1.81 m) ;854,19;1,81;;;;;;;;
1-CS-002-PR;Vale do Sol;Compound lava (basic):  (10.70 m) ;856,00;10,70;10,70;;;;;;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | U. crust):  (7.70 m) ;866,70;7,70;38,42;0,77;;;;;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | massive interior):  (29.60 m) ;874,40;29,60;;;;;;;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | L. crust):  (1.12 m) ;904,00;1,12;;;;;;;;
1-CS-002-PR;Vale do Sol;Siliciclastics (undiff. low GR):  (2.72 m) ;905,12;2,72;2,72;;;;;;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | U. crust):  (6.00 m) ;907,84;6,00;34,40;0,78;;;;;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | massive interior):  (26.80 m) ;913,84;26,80;;;;;;;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | L. crust):  (1.60 m) ;940,64;1,60;;;;;;;;
1-ES-001-RS;Esmeralda;Simple lava (basic | U. crust):  (6.50 m) ;0,00;6,50;15,10;0,49;Unit Thinckness;Avg flow Thickness;Avg Core prop;Simple;Compound;Siliciclastic/volcaniclastic
1-ES-001-RS;Esmeralda;Simple lava (basic | massive interior):  (7.40 m) ;6,50;7,40;;;31,44;15,72;0,42;1,00;0,00;0,00
1-ES-001-RS;Esmeralda;Simple lava (basic | L. crust):  (1.20 m) ;13,90;1,20;;;;;;31,44;0,00;0,00
1-ES-001-RS;Esmeralda;Simple lava (basic | U. crust):  (8.82 m) ;15,10;8,82;16,34;0,34;;;;;;
1-ES-001-RS;Esmeralda;Simple lava (basic | massive interior):  (5.60 m) ;23,92;5,60;;;;;;;;
1-ES-001-RS;Esmeralda;Simple lava (basic | L. crust):  (1.92 m) ;29,52;1,92;;;;;;;;
1-ES-001-RS;Palmas;Siliciclastics (undiff. low GR):  (2.40 m) ;31,44;2,40;2,40;;Unit Thinckness;Avg flow Thickness;Avg Core prop;Simple;Compound;Siliciclastic/volcaniclastic
1-ES-001-RS;Palmas;Lava (int./evolved | U. crust):  (22.86 m) ;33,84;22,86;60,86;0,55;357,76;57,70;0,73;0,81;0,18;0,02
1-ES-001-RS;Palmas;Lava (int./evolved | interior):  (33.70 m) ;56,70;33,70;;;;;;288,50;63,02;6,24
1-ES-001-RS;Palmas;Lava (int./evolved | L. crust):  (4.30 m) ;90,40;4,30;;;;;;;;
1-ES-001-RS;Palmas;Compound lava (int./evolved):  (30.70 m) ;94,70;30,70;30,70;;;;;;;
1-ES-001-RS;Palmas;Lava (int./evolved | U. crust):  (10.50 m) ;125,40;10,50;47,88;0,73;;;;;;
1-ES-001-RS;Palmas;Lava (int./evolved | interior):  (34.98 m) ;135,90;34,98;;;;;;;;
1-ES-001-RS;Palmas;Lava (int./evolved | L. crust):  (2.40 m) ;170,88;2,40;;;;;;;;
1-ES-001-RS;Palmas;Siliciclastics (undiff. low GR):  (3.84 m) ;173,28;3,84;3,84;;;;;;;
1-ES-001-RS;Palmas;Lava (int./evolved | U. crust):  (6.16 m) ;177,12;6,16;28,16;0,73;;;;;;
1-ES-001-RS;Palmas;Lava (int./evolved | interior):  (20.56 m) ;183,28;20,56;;;;;;;;
1-ES-001-RS;Palmas;Lava (int./evolved | L. crust):  (1.44 m) ;203,84;1,44;;;;;;;;
1-ES-001-RS;Palmas;Compound lava (int./evolved):  (32.32 m) ;205,28;32,32;32,32;;;;;;;
1-ES-001-RS;Palmas;Lava (int./evolved | U. crust):  (4.70 m) ;237,60;4,70;17,60;0,66;;;;;;
1-ES-001-RS;Palmas;Lava (int./evolved | interior):  (11.54 m) ;242,30;11,54;;;;;;;;
1-ES-001-RS;Palmas;Lava (int./evolved | L. crust):  (1.36 m) ;253,84;1,36;;;;;;;;
1-ES-001-RS;Palmas;Lava (evolved | U. crust):  (3.40 m) ;255,20;3,40;134,00;0,96;;;;;;
1-ES-001-RS;Palmas;4Lava (evolved | interior):  (129.00 m) ;258,60;129,00;;;;;;;;
1-ES-001-RS;Palmas;Lava (evolved | L. crust):  (1.60 m) ;387,60;1,60;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (6.70 m) ;389,20;6,70;30,24;0,73;Unit Thinckness;Avg flow Thickness;Avg Core prop;Simple;Compound;Siliciclastic/volcaniclastic
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (21.94 m) ;395,90;21,94;;;527,30;24,77;0,58;0,89;0,10;0,01
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.60 m) ;417,84;1,60;;;;;;470,72;52,78;3,80
1-ES-001-RS;Vale do Sol;Compound lava (basic):  (16.66 m) ;419,44;16,66;16,66;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (3.60 m) ;436,10;3,60;8,50;0,40;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (3.40 m) ;439,70;3,40;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.50 m) ;443,10;1,50;;;;;;;;
1-ES-001-RS;Vale do Sol;Compound lava (basic):  (12.68 m) ;444,60;12,68;12,68;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | rubbly flow top):  (8.92 m) ;457,28;8,92;18,32;0,35;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (6.40 m) ;466,20;6,40;;;;;;; ;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (3.00 m) ;472,60;3,00;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | rubbly flow top):  (9.10 m) ;475,60;9,10;21,52;0,49;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (10.50 m) ;484,70;10,50;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.92 m) ;495,20;1,92;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (9.58 m) ;497,12;9,58;21,48;0,52;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (11.10 m) ;506,70;11,10;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (0.80 m) ;517,80;0,80;;;;;;;;
1-ES-001-RS;Vale do Sol;Compound lava (basic):  (6.50 m) ;518,60;6,50;6,50;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (3.00 m) ;525,10;3,00;13,90;0,55;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (7.70 m) ;528,10;7,70;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (3.20 m) ;535,80;3,20;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | rubbly flow top):  (12.10 m) ;539,00;12,10;28,76;0,53;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (15.22 m) ;551,10;15,22;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.44 m) ;566,32;1,44;;;;;;;;
1-ES-001-RS;Vale do Sol;Compound lava (basic):  (16.94 m) ;567,76;16,94;16,94;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (6.20 m) ;584,70;6,20;29,40;0,75;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (22.00 m) ;590,90;22,00;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.20 m) ;612,90;1,20;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (4.70 m) ;614,10;4,70;11,45;0,46;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (5.28 m) ;618,80;5,28;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.47 m) ;624,08;1,47;;;;;;;;
1-ES-001-RS;Vale do Sol;Siliciclastics (undiff. low GR):  (1.40 m) ;625,55;1,40;1,40;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (5.37 m) ;626,95;5,37;10,45;0,36;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (3.78 m) ;632,32;3,78;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.30 m) ;636,10;1,30;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (4.28 m) ;637,40;4,28;7,64;0,25;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (1.92 m) ;641,68;1,92;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.44 m) ;643,60;1,44;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (3.52 m) ;645,04;3,52;19,60;0,70;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (13.68 m) ;648,56;13,68;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (2.40 m) ;662,24;2,40;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | rubbly flow top):  (18.16 m) ;664,64;18,16;59,56;0,66;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (39.10 m) ;682,80;39,10;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (2.30 m) ;721,90;2,30;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | rubbly flow top):  (12.70 m) ;724,20;12,70;60,50;0,77;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (46.40 m) ;736,90;46,40;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.40 m) ;783,30;1,40;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (5.30 m) ;784,70;5,30;40,30;0,83;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (33.50 m) ;790,00;33,50;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.50 m) ;823,50;1,50;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (5.20 m) ;825,00;5,20;40,20;0,85;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (34.00 m) ;830,20;34,00;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.00 m) ;864,20;1,00;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (2.00 m) ;865,20;2,00;6,64;0,53;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (3.52 m) ;867,20;3,52;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.12 m) ;870,72;1,12;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (3.28 m) ;871,84;3,28;11,52;0,67;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (7.68 m) ;875,12;7,68;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (0.56 m) ;882,80;0,56;;;;;;;;
1-ES-001-RS;Vale do Sol;Siliciclastics (undiff. low GR):  (2.40 m) ;883,36;2,40;2,40;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | U. crust):  (8.04 m) ;885,76;8,04;30,74;0,65;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | massive interior):  (20.10 m) ;893,80;20,10;;;;;;;;
1-ES-001-RS;Vale do Sol;Simple lava (basic | L. crust):  (2.60 m) ;913,90;2,60;;;;;;;;
1-ES-002-RS;Esmeralda;Compound lava (basic):  (25.60 m) ;3,20;25,60;25,60;;;;;;;
1-ES-002-RS;Esmeralda;Siliciclastics (undiff. low GR):  (1.90 m) ;28,80;1,90;1,90;;;;;;;
1-ES-002-RS;Esmeralda;Simple lava (basic | U. crust):  (15.62 m) ;30,70;15,62;35,70;0,54;;;;;;
1-ES-002-RS;Esmeralda;Simple lava (basic | massive interior):  (19.12 m) ;46,32;19,12;;;;;;;;
1-ES-002-RS;Esmeralda;Simple lava (basic | L. crust):  (0.96 m) ;65,44;0,96;;;;;;;;
1-ES-002-RS;Esmeralda;Siliciclastics (undiff. low GR):  (1.60 m) ;66,40;1,60;1,60;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | U. crust):  (11.60 m) ;68,00;11,60;26,96;0,53;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | interior):  (14.32 m) ;79,60;14,32;;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | L. crust):  (1.04 m) ;93,92;1,04;;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | U. crust):  (2.56 m) ;94,96;2,56;55,20;0,94;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | interior):  (51.68 m) ;97,52;51,68;;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | L. crust):  (0.96 m) ;149,20;0,96;;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | U. crust):  (20.00 m) ;150,16;20,00;61,04;0,65;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | interior):  (39.76 m) ;170,16;39,76;;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | L. crust):  (1.28 m) ;209,92;1,28;;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | U. crust):  (10.96 m) ;211,20;10,96;39,60;0,70;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | interior):  (27.76 m) ;222,16;27,76;;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | L. crust):  (0.88 m) ;249,92;0,88;;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | banded):  (16.80 m) ;250,80;16,80;33,20;0,15;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | U. crust):  (5.12 m) ;267,60;5,12;;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | interior):  (11.28 m) ;272,72;11,28;;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | L. crust):  (1.20 m) ;284,00;1,20;;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | banded):  (17.20 m) ;285,20;17,20;73,04;0,16;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | U. crust):  (12.00 m) ;302,40;12,00;;;;;;;;
1-ES-002-RS;Palmas;Lava (evolved | interior):  (43.84 m) ;314,40;43,84;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | U. crust):  (4.88 m) ;358,24;4,88;10,80;0,45;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | massive interior):  (4.88 m) ;363,12;4,88;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.04 m) ;368,00;1,04;;;;;;;;
1-ES-002-RS;Vale do Sol;Siliciclastics (undiff. low GR):  (1.60 m) ;369,04;1,60;1,60;;;;;;;
1-ES-002-RS;Vale do Sol;Compound lava (basic):  (15.26 m) ;370,64;15,26;15,26;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | U. crust):  (8.02 m) ;385,90;8,02;27,30;0,65;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | massive interior):  (17.76 m) ;393,92;17,76;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.52 m) ;411,68;1,52;;;;;;;;
1-ES-002-RS;Vale do Sol;Siliciclastics (undiff. low GR):  (1.52 m) ;413,20;1,52;1,52;;;;;;;
1-ES-002-RS;Vale do Sol;Compound lava (basic):  (38.96 m) ;414,72;38,96;38,96;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | U. crust):  (2.40 m) ;453,68;2,40;7,60;0,52;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | massive interior):  (3.92 m) ;456,08;3,92;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.28 m) ;460,00;1,28;;;;;;;;
1-ES-002-RS;Vale do Sol;Compound lava (basic):  (17.92 m) ;461,28;17,92;17,92;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | U. crust):  (4.70 m) ;479,20;4,70;11,80;0,38;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | massive interior):  (4.50 m) ;483,90;4,50;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | L. crust):  (2.60 m) ;488,40;2,60;;;;;;;;
1-ES-002-RS;Vale do Sol;Compound lava (basic):  (8.10 m) ;491,00;8,10;8,10;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | U. crust):  (2.30 m) ;499,10;2,30;6,58;0,48;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | massive interior):  (3.16 m) ;501,40;3,16;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.12 m) ;504,56;1,12;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | U. crust):  (6.32 m) ;505,68;6,32;12,08;0,23;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | massive interior):  (2.80 m) ;512,00;2,80;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | L. crust):  (2.96 m) ;514,80;2,96;;;;;;;;
1-ES-002-RS;Vale do Sol;Volcaniclastics (undiff.):  (4.32 m) ;517,76;4,32;4,32;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | U. crust):  (8.16 m) ;522,08;8,16;29,12;0,64;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | massive interior):  (18.72 m) ;530,24;18,72;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | L. crust):  (2.24 m) ;548,96;2,24;;;;;;;;
1-ES-002-RS;Vale do Sol;Volcaniclastics (undiff.):  (5.84 m) ;551,20;5,84;5,84;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | U. crust):  (12.56 m) ;557,04;12,56;23,76;0,39;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | massive interior):  (9.36 m) ;569,60;9,36;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.84 m) ;578,96;1,84;;;;;;;;
1-ES-002-RS;Vale do Sol;Compound lava (basic):  (8.96 m) ;580,80;8,96;8,96;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | U. crust):  (3.84 m) ;589,76;3,84;15,92;0,68;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | massive interior):  (10.88 m) ;593,60;10,88;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.20 m) ;604,48;1,20;;;;;;;;
1-ES-002-RS;Vale do Sol;Siliciclastics (undiff. low GR):  (4.48 m) ;605,68;4,48;4,48;;;;;;;
1-ES-002-RS;Vale do Sol;56 - Simple lava (basic | rubbly flow top):  (10.64 m) ;610,16;10,64;25,20;0,48;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | massive interior):  (12.16 m) ;620,80;12,16;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | L. crust):  (2.40 m) ;632,96;2,40;;;;;;;;
1-ES-002-RS;Vale do Sol;Siliciclastics (undiff. low GR):  (2.40 m) ;635,36;2,40;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | U. crust):  (9.20 m) ;637,76;9,20;42,32;0,74;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | massive interior):  (31.52 m) ;646,96;31,52;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | L. crust):  (1.60 m) ;678,48;1,60;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | U. crust):  (4.72 m) ;680,08;4,72;13,44;0,48;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | massive interior):  (6.40 m) ;684,80;6,40;;;;;;;;
1-ES-002-RS;Vale do Sol;Simple lava (basic | L. crust):  (2.32 m) ;691,20;2,32;;;;;;;;
